,PRMS_DT,PRDT_SHAP_CD_NM,영양제명,IFTKN_ATNT_MATR_CN,BSSH_NM,STDR_STND,PRIMARY_FNCLTY,POG_DAYCNT,CSTDY_MTHD,NTK_MTHD
0,20200103,분말,프로틴 밸런스,"특정 단백질에 알레르기를 나타내는 경우에는 섭취 주의
섭취 시 가스참, 트림, 복통, 복부팽만감 등이 발생할수 있음 
고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하십시오. 이상 증상이 생길 경우 섭취를 중단하시고, 전문가와 상담하십시오.",일동후디스주식회사,"(1) 성상 :고유의 향미가 있고, 이미, 이취가 없는 무광택의 노랑하양 색상의 입자성이 있는 과립형 분말
(2) 영양성분
          (가) 단백질 함량(g): 표시량(20 g/ 1회 분량(38 g))의 80.0~120.0% (16~24 g)
          (나) 프락토올리고당 함량(g): 표시량(3 g/ 1회 분량(38 g))의 80.0~120.0% (2.4~3.6g) 
          (다) 칼슘 함량(mg): 표시량(300 mg/ 1회 분량(38 g))의 80.0~150.0% (240~450 mg)
          (라) 마그네슘 함량(mg): 표시량(150 mg/ 1회 분량(38 g))의 80.0~150.0% (120~225 mg)
          (마) 비타민D 함량(mg): 표시량(10 μg/ 1회 분량(38 g))의 80.0~180.0% (8~18 μg)
          (바) 비타민B6 함량(mg): 표시량(3 mg/ 1회 분량(38 g))의 80.0~150.0% (2.4~4.5 mg)
          (사) 아연 함량(mg): 표시량(9 mg/ 1회 분량(38 g))의 80.0~150.0% (7.2~13.5 mg)
          (아) 판토텐산 함량(mg): 표시량(5 mg/ 1회 분량(38 g))의 80.0~180.0% (4~9 mg)
      (3) 대장균군: 음성
      (4) 납(mg/kg): 1.0 이하","①근육, 결합조직 등 신체조직의 구성성분②효소, 호르몬, 항체의 구성에 필요③체내 필수 영양성분이나 활성물질의 운반과 저장에 필요④체액, 산-염기의 균형 유지에 필요⑤에너지, 포도당, 지질의 합성에 필요

① 유익균 증식 및 유해균 억제·칼슘 흡수·배변활동 원활에 도움을 줄 수 있음

①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

①에너지 이용에 필요②신경과 근육 기능 유지에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",제조일로부터 18개월,0,1일 1회 캔에 동봉된 스푼을 이용하여 물 150~200mL에 본 제품 3스푼(38g) 또는 스틱 2포(38g)을 개봉하여 넣은 후 혼합하여 음용한다.
1,20200113,분말,팜엔탑 장에 좋은 프로바이오틱스 프리바이오틱스 4000,"섭취 시 가스참, 트림, 복통, 복부팽만감 등이 발생할 수 있음
질환이 있거나 의약품 복용 시 전문가와 상담할 것
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.",주식회사한미양행,"(1) 성상 : 이미, 이취가 없으며 고유의 향미를 지닌 미백색의 분말
(2) 프락토올리고당 : 표시량(4 g/5 g)의 80% 이상 120% 이하
(3) 프로바이오틱스 수 : 표시량(100,000,000 CFU/5 g) 이상
(4) 아연 : 표시량(8.5 ㎎/5 g)의 80% 이상 150% 이하
(5) 셀레늄 : 표시량(55 ug/5 g)의 80% 이상 150% 이하 
(6) 납(mg/kg) : 1.0 이하
(7) 대장균군 : 음성","[프락토올리고당] 유익균 증식 및 유해균 억제·칼슘 흡수·배변활동 원활에 도움을 줄 수 있음.
[프로바이오틱스] 유산균 증식 및 유해균 억제·배변활동 월활에 도움을 줄 수 있음.
[아연] 정상적인 면역기능에 필요, 정상적인 세포분열에 필요.
[셀레늄] 유해산소로부터 세포를 보호하는데 필요.",18개월,0,"1일 1회, 1회 1포를 직접 섭취하거나 물과 함께 섭취하십시오."
2,20200117,분말,뉴트키즈타민,0,(주)유유헬스케어,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 연한 분홍색의 분말
2. 비타민A: 표시량(350 ㎍ RE/2,000 mg)의 80~150%
3. 비타민B1: 표시량(1 mg/2,000 mg)의 80~180% 
4. 비타민B2: 표시량(1.2 mg/2,000 mg)의 80~180%
5. 비타민B6: 표시량(10.5 mg/2,000 mg)의 80~150%
6. 나이아신: 표시량(10 mgNE/2,000 mg)의 80~150%
7. 판토텐산: 표시량(4 mg/2,000 mg)의 80~180%
8. 엽산: 표시량(180 ㎍/2,000 mg)의 80~150%
9. 비오틴: 표시량(22㎍/2,000 mg)의 80~180%
10. 비타민B12: 표시량(3.3 ㎍/2,000 mg)의 80~180% 
11. 비타민C: 표시량(100 mg/2,000 mg)의 80~150%
12. 비타민D: 표시량(10 ㎍/2,000 mg)의 80~180%
13. 비타민E: 표시량(10 mg α-TE/2,000  mg)의 80~150%
14. 아연: 표시량(7 mg/2,000  mg)의 80~150%
15. 대장균군: 적합(음성)","①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요

①탄수화물과 에너지 대사에 필요

①체내 에너지 생성에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①체내 에너지 생성에 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①정상적인 엽산 대사에 필요

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요 

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌


①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
①정상적인 면역기능에 필요②정상적인 세포분열에 필요",제조일로부터 24개월,0,"1일 1회, 1회 1포를 물과 함께 섭취하십시오."
3,20200117,정,해브잇 컴팩트 비타민B 8종 콤플렉스,0,주)팜크로스,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 장방형정제
2. 비타민B1 : 표시량(1.2㎎/500㎎)의 80~180%
3. 비타민B2 : 표시량(1.4㎎/500㎎)의 80~180%
4. 나이아신 : 표시량(15㎎NE/500㎎)의 80~150%
5. 판토텐산 : 표시량(5㎎/500㎎)의 80~180%
6. 비타민B6 : 표시량(1.5㎎/500㎎)의 80~150%
7. 비오틴 : 표시량(30㎍/500㎎)의 80~180%
8. 엽산 : 표시량(400㎍/500㎎)의 80~150%
9. 비타민B12 : 표시량(2.4㎍/500㎎)의 80~180%
10. 대장균군 : 음성
11. 붕해 : 적합(30분 이내)","①체내 에너지 생성에 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①정상적인 엽산 대사에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①탄수화물과 에너지 대사에 필요

①체내 에너지 생성에 필요

①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",제조일로부터 24개월,0,"1일 1회, 1회 1정을 물과 함께 섭취하십시오."
4,20200203,캡슐,루테인 알티지 오메가3,"의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것
개인에 따라 피부 관련 이상반응이 발생할 수 있음
과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.",주식회사한미양행,"(1) 성상 : 이미, 이취가 없으며 고유의 향미를 지닌 빨강색의 내용물을 함유한 흑색 연질캡슐.
(2) EPA와 DHA의 합 : 표시량(600 mg/ 1,050 mg)의 80% 이상 120% 이하
(3) 루테인 : 표시량(20 mg/1,050 mg)의 80% 이상 120% 이하
(4) 비타민 D : 표시량(20 μg/1,050 mg)의 80% 이상 180% 이하
(5) 비타민 E : 표시량(3.3 mgα-TE/1,050 mg)의 80% 이상 150% 이하
(6) 헥산(mg/kg) : 5.0 이하
(7) 납(mg/kg) : 2.8 이하
(8) 카드뮴(mg/kg) : 1.0 이하
(9) 총수은(mg/kg) : 0.6 이하
(10) 총비소(mg/kg) : 1.0 이하
(11) 대장균군 : 음성
(12) 붕해시험 : 적합","[EPA 및 DHA 함유유지] 혈중 중성지질 개선 혈행 개선에 도움을 줄 수 있음. 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음.
[마리골드꽃추출물] 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음.
[비타민D]  칼슘과 인이 흡수되고 이용되는데 필요. 뼈의 형성과 유지에 필요. 골다공증발생 위험 감소에 도움을 줌.
[비타민E] 유해산소로부터 세포를 보호하는데 필요.",24개월,0,"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취."
5,20200205,정,뼈에 좋은 칼슘 마그네슘 아연 비타민D,0,주)팜크로스,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 코팅된 회백색의 타원형 정제.
2. 마그네슘 : 표시량(150㎎/1350㎎)의 80~150%
3. 칼슘 : 표시량(300㎎/1350㎎)의 80~150%
4. 아연 : 표시량(8.5㎎/1350㎎)의 80~150%
5. 망간 : 표시량(3㎎/1350㎎)의 80~150%
6. 비타민D : 표시량(10㎍/1350㎎)의 80~180%
7. 붕해 : 적합(60분 이내)
8. 대장균군 : 음성","①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

①에너지 이용에 필요②신경과 근육 기능 유지에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",제조일로부터 24개월,0,"1일 1회, 1회 1정을 물과 함께 섭취하십시오."
6,20200210,정,3초습관 플러스타민 종합영양제,특히 6세 이하는 과량섭취하지 않도록 주의,주)팜크로스,"1. 성상 : 정제1-이미, 이취가 없고 고유의 향미가 있는 황갈색의 장방형 제피정제, 정제2-이미, 이취가 없고 고유의 향미가 있는 백색의 타원형  제피정제, 정제3-이미, 이취가 없고 고유의 향미가 있는 미황색의 삼각형 제피정제
2. 비타민A : 표시량(700㎍RE/2100㎎)의 80~150%
3. 비타민D : 표시량(40㎍/2100㎎)의 80~180%
4. 비타민E : 표시량(11㎎α-TE/2100㎎)의 80~150%
5. 비타민K : 표시량(70㎍/2100㎎)의 80~180%
6. 비타민B1 : 표시량(3.6㎎/2100㎎)의 80~180%
7. 비타민B2 : 표시량(4.2㎎/2100㎎)의 80~180%
8. 나이아신 : 표시량(30㎎NE/2100㎎)의 80~150%
9. 판토텐산 : 표시량(15㎎/2100㎎)의 80~180%
10. 비타민B6 : 표시량(4.5㎎/2100㎎)의 80~150%
11. 비오틴 : 표시량(90㎍/2100㎎)의 80~180%
12. 엽산 : 표시량(1000㎍/2100㎎)의 80~150%
13. 비타민B12 : 표시량(7.2㎍/2100㎎)의 80~180%
14. 비타민C : 표시량(150㎎/2100㎎)의 80~150%
15. 칼슘 : 표시량(210㎎/2100㎎)의 80~150%
16. 마그네슘 : 표시량(100㎎/2100㎎)의 80~150%
17. 철 : 표시량(12㎎/2100㎎)의 80~150%
18. 아연 : 표시량(12.75㎎/2100㎎)의 80~150%
19. 망간 : 표시량(3㎎/2100㎎)의 80~150%
20. 구리 : 표시량(0.8㎎/2100㎎)의 80~150%
21. 셀레늄 : 표시량(110㎍/2100㎎)의 80~150%
22. 몰리브덴 : 표시량(25㎍/2100㎎)의 80~180%
23. 대장균군 : 음성
24. 붕해 : 적합(정제1-60분 이내, 정제2-60분 이내, 정제3-60분 이내)","①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

①에너지 이용에 필요②신경과 근육 기능 유지에 필요

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①유해산소로부터 세포를 보호하는데 필요

①체내 산소운반과 혈액생성에 필요②에너지 생성에 필요

①체내 에너지 생성에 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①산화,환원 효소의 활성에 필요

①유해산소로부터 세포를 보호하는데 필요

①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요

①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

①정상적인 엽산 대사에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요

①탄수화물과 에너지 대사에 필요

①체내 에너지 생성에 필요

①정상적인 혈액응고에 필요②뼈의 구성에 필요

①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",제조일로부터 24개월,0,"1일 1회, 1회 1포(3정)를 물과 함께 섭취하십시오."
7,20200212,정,뉴트리셀비타민D1000,"질환보유자 및 약물 복용 중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오. 
알레르기 체질이신 분은 성분을 확인한 후 섭취하시기 바랍니다.",(주)유유헬스케어,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있으며 점박이가 있는 회색의 장원형 코팅정제
2. 칼슘 : 표시량(210 mg/1,000 mg)의 80~150%
3. 비타민D : 표시량(25 ㎍/1,000 mg)의 80~180%
4. 비타민K : 표시량(70 ㎍/1,000 mg)의 80~180%
5. 납(mg/kg) : 3.0 이하
6. 붕해시험 : 적합
7. 대장균군 : 적합","①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

①정상적인 혈액응고에 필요②뼈의 구성에 필요",제조일로부터 24개월까지,0,"1일 1회, 1회 2정을 물과 함께 섭취하십시오."
8,20200212,캡슐,더나은 헤파쎈,"알레르기 반응이 나타나는 경우에는 섭취 중단
설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의",주식회사한미양행,"(1) 성상 : 이미, 이취가 없으며 고유의 향미를 지닌 연한 황갈색의 내용물을 함유한 흑색 연질캡슐.
(2) 실리마린 : 표시량(130 mg/1,000 mg)의 80% 이상 120% 이하
(3) 비타민 B1 : 표시량(0.6 mg/1,000 mg)의 80% 이상 180% 이하
(4) 비타민 B2 : 표시량(0.7 mg/1,000 mg)의 80% 이상 180% 이하
(5) 나이아신 : 표시량(7.5 mgNE/1,000 mg)의 80% 이상 150% 이하
(6) 판토텐산 : 표시량(2.5 mg/1,000 mg)의 80% 이상 180% 이하
(7) 비타민 B6 : 표시량(0.75 mg/1,000 mg)의 80% 이상 150% 이하
(8) 비오틴 : 표시량(15 μg/1,000 mg)의 80% 이상 180% 이하
(9) 아연 : 표시량(4.25 mg/1,000 mg)의 80% 이상 150% 이하
(10) 셀레늄 : 표시량(27.5 μg/1,000 mg)의 80% 이상 150% 이하
(11) 헥산(mg/kg) : 5.0 이하
(12) 납(mg/kg) : 1.0 이하
(13) 카드뮴(mg/kg) : 0.5 이하
(14) 총비소(mg/kg) : 1.0 이하
(15) 총수은(mg/kg) : 0.5 이하
(16) 대장균군 : 음성
(17) 붕해시험 : 20분이내","[밀크씨슬추출물] 간 건강에 도움을 줄 수 있음
[비타민B1] 탄수화물과 에너지 대사에 필요.
[비타민B2] 체내 에너지 생성에 필요.
[나이아신] 체내 에너지 생성에 필요
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B6] 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
[비오틴] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] 정상적인 면역기능에 필요, 정상적인 세포분열에 필요.
[셀레늄] 유해산소로부터 세포를 보호하는데 필요",24개월,0,"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취."
9,20200212,정,메가파워 마그네슘 315,0,주)팜크로스,"1. 성상 : 이미, 이취가 없고 고유의 향미가 미황색의 장방형 코팅정제
2. 마그네슘 : 표시량(315㎎/870㎎)의 80~150%
3. 비타민D : 표시량(10㎍/870㎎)의 80~180%
4. 비타민B1 : 표시량(1.2㎎/870㎎)의 80~180%
5. 비타민B2 : 표시량(1.4㎎/870㎎)의 80~180%
6. 비타민B6 : 표시량(1.5㎎/870㎎)의 80~150%
7. 붕해 : 적합(60분 이내)
8. 대장균군 : 음성","①에너지 이용에 필요②신경과 근육 기능 유지에 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①탄수화물과 에너지 대사에 필요

①체내 에너지 생성에 필요",제조일로부터 24개월,0,"1일 1회, 1회 1정을 물과 함께 섭취하십시오."
